ID,bookTitle,bookAuthor,bookISBN,countryOfOrigin,language,publishedDate,publisher,pages,price($$),ratings,reviews
1,To the Lighthouse,Nathaniel Hawthorne,627-08-50307-56-0,Tonga,Greek,"Friday, July 24, 1457",Zepter,430,35.39,1.27,Fantasy
2,Wuthering Heights,Dr. Seuss,442-34-04336-68-0,Papua New Guinea,Bhojpuri,"Friday, April 9, 3824",Areon Impex,442,52.04,2.46,Drama
3,Game of Thrones,Emily Dickinson,756-82-37441-10-8,Nigeria,Italian,"Wednesday, January 30, 6436",Team Guard SRL,426,11.75,1.40,History
4,Invisible Man,William Faulkner,488-78-04786-65-5,Micronesia,Hindi,"Wednesday, May 29, 2943",Metro Cash&Carry,478,45.90,3.06,Horror
5,The Odyssey,Stephenie Meyer,765-74-70513-07-6,Saint Lucia,Swedish,"Sunday, October 28, 6773",AECOM,239,51.08,4.34,Comedy
6,Emma,William Shakespeare,026-01-58218-17-0,Iraq,Assamese,"Wednesday, September 24, 6527",Amazon.com,454,29.76,1.37,Biography
7,The Lord of The Rings,Ernest Hemingway,564-84-84858-61-7,Tuvalu,Sundanese,"Thursday, May 17, 0801",BuzzFeed,311,48.35,1.86,History
8,Great Expectations,Jules Verne,466-78-56331-30-7,Saint Vincent and the Grenadines,Russian,"Wednesday, December 9, 5525",Erickson,437,71.10,3.86,Thriller
9,Hamlet,Oscar Wilde,330-15-54727-12-6,Guatemala,Swedish,"Thursday, December 10, 7609",Vodafone,321,82.65,2.32,Adventure
10,Moby Dick,C.S. Lewis,500-15-40001-42-5,Canada,Bengali,"Monday, March 29, 7148",AECOM,564,40.33,2.71,Musical
11,Gargantua and Pantagruel,Leo Tolstoy,667-53-62270-51-0,Philippines,Italian,"Thursday, February 5, 1615",Team Guard SRL,373,94.05,3.40,Drama
12,Ulysses,Jane Austen,644-66-43237-78-8,The Gambia,Persian,"Sunday, October 6, 2869",Apple Inc.,419,24.54,4.25,Action
13,The Great Gatsby,Bella Forrest,621-68-84258-35-2,Sudan,Japanese,"Monday, September 12, 0704",ENEL,172,78.38,4.23,Sci-Fi
14,The Lord of The Rings,Stephen King,854-13-55061-00-4,Hungary,Chinese,"Monday, January 31, 2456",Vodafone,316,52.86,3.34,Action
15,The Flowers of Evil,Mary Shelley,824-42-02831-16-7,Ghana,Arabic,"Saturday, April 7, 8812",Erickson,185,21.76,2.43,Comedy
16,Don Quixote,Stephen King,687-77-51355-64-3,Malaysia,Vietnamese,"Saturday, August 13, 9735",Biolife Grup,201,98.01,1.64,Sci-Fi
17,The Divine Comedy,C.S. Lewis,400-77-62422-81-5,USA,Chittagonian,"Friday, April 29, 0529",Global Print,275,80.73,1.10,Comedy
18,Tristram Shandy,Bella Forrest,761-36-27448-55-4,Liechtenstein,Turkish,"Thursday, August 27, 3378",Carrefour,464,96.62,1.51,Animation
19,In Search of Lost Time,Nathaniel Hawthorne,376-32-45514-32-1,"Sudan, South",Hakka,"Thursday, February 27, 5496",BuzzFeed,218,45.77,4.53,History
20,The Grapes of Wrath,Mary Shelley,107-17-11522-20-6,Turkmenistan,German,"Wednesday, January 13, 8365",Comodo,343,16.27,1.86,Animation
21,The Metamorphosis,Franz Kafka,177-84-63052-40-4,United Arab Emirates,Amharic,"Wednesday, September 12, 6181",Coca-Cola Company,241,94.08,4.44,Fantasy
22,Madame Bovary,William Faulkner,652-14-24343-50-6,Maldives,Mandarin,"Sunday, April 23, 5544",Leadertech Consulting,469,69.31,1.54,Animation
23,Gargantua and Pantagruel,Walt Whitman,684-41-32083-42-3,Latvia,Uzbek,"Friday, December 7, 5584",Comodo,470,57.65,3.42,Horror
24,Nineteen Eighty Four,Jin Yong,215-74-36471-82-7,Antigua and Barbuda,Greek,"Friday, March 16, 8210",Boeing,367,77.06,3.27,Thriller
25,To the Lighthouse,Paulo Coelo,280-20-16765-70-2,Gabon,Swedish,"Monday, September 11, 9871",Demaco,544,84.22,1.72,Comedy
26,The Metamorphosis,Harper Lee,005-68-41805-25-4,Ghana,Russian,"Friday, October 3, 6836",DynCorp,191,16.42,1.53,Musical
27,The Magic Mountain,Emily Dickinson,684-55-17600-06-4,Samoa,Persian,"Monday, August 10, 4843",Team Guard SRL,478,58.64,3.87,Thriller
28,The Sun Also Rises,Franz Kafka,531-01-61005-03-8,Vatican City,Ukrainian,"Wednesday, September 6, 3876",21st Century Fox,225,94.46,4.73,Crime
29,Oedipus,Walt Whitman,206-65-70688-57-5,Namibia,Arabic,"Thursday, September 17, 1333",Metro Cash&Carry,528,32.39,1.48,Family
30,The Sound and the Fury,G.R.R. Martin,813-18-87083-61-2,Syria,Korean,"Thursday, April 16, 1372",Erickson,383,39.53,4.84,Biography
31,Nineteen Eighty Four,William Faulkner,562-28-37654-75-0,Pakistan,German,"Wednesday, July 22, 1198",Areon Impex,483,33.79,4.61,Comedy
32,Anna Karenina,Harper Lee,632-56-63204-18-1,Greece,Dutch,"Wednesday, May 18, 8039",Vodafone,219,46.01,4.16,History
33,The Magic Mountain,Ralph Waldo Emerson,726-31-10212-82-8,Syria,Sindhi,"Wednesday, June 1, 5267",Comodo,469,99.38,3.23,Fantasy
34,Tristram Shandy,Edgar Allan Poe,344-34-03666-78-6,Nigeria,Ukrainian,"Friday, February 14, 3766",Team Guard SRL,305,53.87,4.59,Family
35,The Metamorphosis,Robert Frost,811-16-77565-67-5,United Kingdom,Yue,"Tuesday, April 1, 1479",AECOM,310,10.51,1.67,Biography
36,Gulliver's Travels,Robert Frost,546-23-47545-18-3,Sao Tome and Principe,Ukrainian,"Monday, February 1, 4686",Comodo,442,74.61,4.89,Crime
37,In Search of Lost Time,Barbara Cartland,504-47-08273-30-4,Azerbaijan,Hungarian,"Thursday, February 22, 7742",Apple Inc.,317,14.84,1.69,Horror
38,Moby Dick,Mary Shelley,883-28-88406-03-0,Serbia,Hungarian,"Friday, October 2, 9063",UPC,215,84.20,2.98,Romance
39,In Search of Lost Time,Harper Lee,127-87-03800-14-2,Egypt,Swedish,"Thursday, February 5, 8759",CarMax,344,94.10,1.31,Drama
40,To Kill a Mockingbird,William Shakespeare,683-63-32680-58-0,Barbados,Azerbaijani,"Wednesday, December 15, 0252",Coca-Cola Company,228,38.14,1.83,Action
41,Alice Adventures in Wonderland,Agatha Christie,255-02-21063-07-6,Moldova,French,"Tuesday, March 26, 2475",Mars,191,17.91,1.47,Thriller
42,The Red and the Black,Cormac McCarthy,718-72-04334-66-5,Peru,Gan Chinese,"Wednesday, October 5, 8968",Vodafone,317,90.97,2.63,History
43,Anna Karenina,Oscar Wilde,635-43-62542-46-3,Uruguay,Yue,"Thursday, July 16, 7468",Global Print,477,11.25,1.54,Drama
44, Oedipus at Colonus,Robert Frost,142-77-36072-37-4,Nauru,Fula,"Monday, November 3, 7575",Mars,204,30.68,2.22,Horror
45,Robinson Crusoe,Henry James,158-65-33805-78-8,Peru,Azerbaijani,"Monday, March 21, 4861",Comodo,407,54.11,4.84,Biography
